id,title,artists,duration,genre,key,beat_grid,cue_pts,bpm,bpm_bucket
1098701702,JEWELZ,Anderson Paak,174,['Rap/Hip Hop'],['9A'],"{'bpm': 108.57, 'init_beat': 1, 'start_pos': 0.541, 'time_sig': '4/4'}",[0.541],108.57,Chill / Downtempo
3135561,Something About Us,Daft Punk,232,['Dance'],['7A'],"{'bpm': 99.98, 'init_beat': 1, 'start_pos': 0.42, 'time_sig': '4/4'}",[0.42],99.98,Chill / Downtempo
3135563,Veridis Quo,Daft Punk,345,['Dance'],['8A'],"{'bpm': 106.89, 'init_beat': 4, 'start_pos': 0.134, 'time_sig': '4/4'}",[0.412],106.89,Chill / Downtempo
3135564,Short Circuit,Daft Punk,206,['Dance'],['1A'],"{'bpm': 109.67, 'init_beat': 1, 'start_pos': 0.25, 'time_sig': '4/4'}",[0.25],109.67,Chill / Downtempo
88449443,Afterglow,"Wilkinson, Becky Hill",225,['Electronic' 'Electronic' 'Electronic' 'Electronic'],['9A' '9A' '9A' '9A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.048, 'time_sig': '4/4'}",[21.427 22.117 33.151],108.75,Chill / Downtempo
1857803437,Sentient,KOAN Sound,247,['Electronic'],['3A'],"{'bpm': 95.0, 'init_beat': 1, 'start_pos': 0.053, 'time_sig': '4/4'}",[ 10.158  30.368  96.052 116.263 136.473 156.683],95.0,Chill / Downtempo
489645852,All I Need,Nexus & Tight,313,['Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['12A' '12A' '12A' '12A' '12A'],"{'bpm': 104.4, 'init_beat': 1, 'start_pos': 0.026000000000000002, 'time_sig': '4/4'}",[22.095 44.164],104.4,Chill / Downtempo
489645822,Promises,Itro,184,['Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['5A' '5A' '5A' '5A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.027, 'time_sig': '4/4'}",[  5.543  27.613  82.785 104.854],108.75,Chill / Downtempo
509568372,Live Another Day (M&F's Smoke & Mirrors Mix) (Club Master),"Matrix & Futurebound, Alex Hepburn",246,['Dance' 'Dance' 'Dance' 'Dance'],['9A' '9A' '9A' '9A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.07, 'time_sig': '4/4'}",[22.14  44.209],108.75,Chill / Downtempo
1060564312,Airwalk,Oak,247,['Electronic'],['8A'],"{'bpm': 107.0, 'init_beat': 1, 'start_pos': 0.076, 'time_sig': '4/4'}",[26.992],107.0,Chill / Downtempo
1064533332,Casin,glue70,106,['Electro'],['5A'],"{'bpm': 104.0, 'init_beat': 1, 'start_pos': 0.026000000000000002, 'time_sig': '4/4'}",[4.642],104.0,Chill / Downtempo
2254933067,We Are E,"Adam Beyer, Pig&Dan",482,['Techno'],['4A'],"{'bpm': 124.0, 'init_beat': 4, 'start_pos': 0.03, 'time_sig': '4/4'}",[ 31.482  62.449 372.125],124.0,House / Deep House
3129775,Around the World,Daft Punk,429,['French House'],['9B'],"{'bpm': 121.29, 'init_beat': 4, 'start_pos': 0.036000000000000004, 'time_sig': '4/4'}",[16.36 32.19],121.29,House / Deep House
408221052,Pump,Tantrum Desire,278,['Breakbeat' 'Breakbeat' 'Breakbeat'],['1A' '1A' '1A'],"{'bpm': 116.0, 'init_beat': 2, 'start_pos': 0.133, 'time_sig': '4/4'}",[ 0.477 22.546 44.615],116.0,House / Deep House
1838375457,Remember,DC Breaks,313,['Dance' 'Dance' 'Dance'],['6A' '6A' '6A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.026000000000000002, 'time_sig': '4/4'}",[22.095 44.164 66.233],116.0,House / Deep House
653769112,Black Heart Communion,Shades,200,[''],['7B'],"{'bpm': 120.0, 'init_beat': 1, 'start_pos': 0.05, 'time_sig': '4/4'}",[ 0.05 32.05],120.0,House / Deep House
3135558,Nightvision,Daft Punk,104,['Dance'],['8B'],"{'bpm': 119.99, 'init_beat': 1, 'start_pos': 0.274, 'time_sig': '4/4'}",[0.274],119.99,House / Deep House
716493872,Solar System,Sub Focus,288,['Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['4A' '4A' '4A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.256, 'time_sig': '4/4'}",[ 22.094  44.163  66.232 154.508 176.577],116.0,House / Deep House
3135556,"Harder, Better, Faster, Stronger",Daft Punk,224,['Dance'],['11A'],"{'bpm': 123.45, 'init_beat': 2, 'start_pos': 0.249, 'time_sig': '4/4'}",[0.735],123.45,House / Deep House
